Tests,Points,OutOf,Notes
test_clear,3,3,
test_evict,0,3,Server sent an incorrect value to the client.
test_multiple_put_and_gets,0,3,Server sent an incorrect value to the client.
test_one_thread_two_gets,3,3,
test_single_put_and_get,0,3,Server sent an incorrect value to the client.
test_two_threads_two_gets,3,3,
test_large_requests,0,3,Server sent an incorrect value to the client.
test_stress_test,0,3,Server sent an incorrect value to the client.
test_invalid_request,3,3,
Total,12,27,
